Firm,Date,Source,URL,Sub-Asset Class,Asset Class Category,Canva Groupings,Asset Class,View,Full Commentary,confidence,band,review_flag
Aberdeen Investments,3/10/2026,Emerging Markets Q2 2026 Outlook: Shifting Sands,https://www.aberdeeninvestments.com/en-us/institutional/insights-and-research/emerging-markets-q2-2026-outlook-shifting-sands,AI,Equities - Thematic,"Equities - Sectors, Factors, Thematics",Equities,O,"Aberdeen expects AI-related spending to accelerate in 2026, making AI a positive tailwind for APAC and EMs, while noting collapse risk is not its core view. Evidence: Most importantly though, we expect AI to remain a tailwind for the region – and for EMs overall – as AI-related spending is set to move up a gear in 2026. US tech companies have spent more than $865 billion since 2022 on CapEx already, and plan to spend more than $610 billion in 2026 alone (Chart 3).. Locator: p.4.",85,High,none
Aberdeen Investments,3/10/2026,Emerging Markets Q2 2026 Outlook: Shifting Sands,https://www.aberdeeninvestments.com/en-us/institutional/insights-and-research/emerging-markets-q2-2026-outlook-shifting-sands,Asia Equities,Equities - Geo,Equities - Geography,Equities,O,"Aberdeen sees APAC as benefiting from the AI capex cycle, with the main caveat that a non-core AI equity and capex collapse would hit Asian EMs most. Evidence: Most importantly though, we expect AI to remain a tailwind for the region – and for EMs overall – as AI-related spending is set to move up a gear in 2026. US tech companies have spent more than $865 billion since 2022 on CapEx already, and plan to spend more than $610 billion in 2026 alone (Chart 3).. Locator: p.4. Checker: unconfirmed (The quote calls AI a tailwind for 'the region' but never names Asia equities; mapping and the equity-level inference are defensible but not decisive from the quote alone.).",74,Medium,review
Aberdeen Investments,3/10/2026,Emerging Markets Q2 2026 Outlook: Shifting Sands,https://www.aberdeeninvestments.com/en-us/institutional/insights-and-research/emerging-markets-q2-2026-outlook-shifting-sands,Emerging Markets Equities,Equities - EMs,Equities - Geography,Equities,O,"Aberdeen is constructive on EM risk exposure because AI-related capex is expected to support EMs overall in 2026, despite geopolitical and AI-collapse risks. Evidence: Most importantly though, we expect AI to remain a tailwind for the region – and for EMs overall – as AI-related spending is set to move up a gear in 2026. US tech companies have spent more than $865 billion since 2022 on CapEx already, and plan to spend more than $610 billion in 2026 alone (Chart 3).. Locator: p.4.",75,High,none
Aberdeen Investments,3/10/2026,Emerging Markets Q2 2026 Outlook: Shifting Sands,https://www.aberdeeninvestments.com/en-us/institutional/insights-and-research/emerging-markets-q2-2026-outlook-shifting-sands,Data Centers,Alts - Infrastructure,Alts - Real Assets,Alternatives,O,"Aberdeen expects EM participation in the data-center buildout to broaden, highlighting India, Malaysia, and Gulf states as well placed once conflict abates. Evidence: Other EMs will add to the data center boom. India and Malaysia are well placed, while large Sovereign Wealth Funds (SWFs), abundant energy, and access to the US technology stack suggest that Gulf states could expand their AI capabilities rapidly once conflict abates.. Locator: p.5.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Oil,Alts - Commodities,Commodities,Alternatives,O,"AB expects Middle East infrastructure damage to keep oil prices above prewar levels, making the oil price outlook positive despite uncertainty over duration. Evidence: We are not experts at geopolitics, or at assessing oil production. But it seems to us that the damage to oil-related infrastructure in the Middle East means that oil prices are likely to settle at least somewhat higher than before the war.. Locator: p.1.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Alts - Private Markets General,Asset Allocation - Broad,Asset Allocation,Alternatives,U,"AB is cautious on private markets because of opacity and possible excesses from rapid growth, while noting it does not expect a systemic crisis. Evidence: Private credit markets have also been in the spotlight, given their exposure to software companies. We share some of the concern in markets around the opacity of private markets, as well as potential excesses suggested by their explosive growth in recent years. Still, we think that any issues within private markets are unlikely to trigger a systemic crisis.. Locator: p.2.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Duration,Fixed Income - Duration,Fixed Income - General,Fixed Income,O,"AB expects markets to overprice tightening and for yields to fall over time, which is positive for broad duration. Evidence: Yields: We believe markets are likely to price too much tightening based on rising oil prices, which should bring yields down over time.. Locator: p.3 — 'Forecast Overview' Central Narrative panel.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,USD,Currencies,Currencies,Currencies,O,"AB expects the dollar to benefit from safe-haven flows while the conflict remains intense, even though its later path is less clear. Evidence: USD: The dollar is likely to benefit from safe-haven flows while the conflict remains intense. It’s path thereafter is less clear.. Locator: p.3 — 'Forecast Overview' Central Narrative panel.",85,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,China Govt Bonds,Fixed Income - Sovereigns APAC,Fixed Income - Rates & Sovereigns,Fixed Income,U,"AB forecasts China 10-year bond yields rising from 2.00% in 2026 to 2.25% in 2027, implying a negative price view on China government bonds. Evidence: China — 10-Yr. Bond Yield (%): 2026F 2.00; 2027F 2.25. Locator: p.5 — 'China' forecast table.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,CNY,Currencies,Currencies,Currencies,U,"AB forecasts the China FX rate versus USD rising from 7.10 to 7.20, implying CNY depreciation versus the dollar. Evidence: China — FX Rates vs. USD: 2026F 7.10; 2027F 7.20. Locator: p.5 — 'China' forecast table.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Euro Govt Bonds,Fixed Income - Sovereigns Europe,Fixed Income - Rates & Sovereigns,Fixed Income,O,"AB forecasts Euro Area 10-year yields falling from 3.00% in 2026 to 2.60% in 2027, implying a positive view on euro government bonds. Evidence: Euro Area row, 10-Yr. Bond Yield (%): 2026F 3.00; 2027F 2.60. Locator: p.6 - 'Euro Area' forecast table.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,EUR,Currencies,Currencies,Currencies,O,"AB's EUR/USD forecast rises from 1.16 to 1.17, implying euro appreciation against the dollar. Evidence: Euro Area row, FX Rates vs. USD: 2026F 1.16; 2027F 1.17. Locator: p.6 - 'Euro Area' forecast table.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,UK Gilts,Fixed Income - Sovereigns Europe,Fixed Income - Rates & Sovereigns,Fixed Income,O,"AB forecasts UK 10-year yields declining from 4.80% to 4.10%, implying a positive view on gilts. Evidence: UK row, 10-Yr. Bond Yield (%): 2026F 4.80; 2027F 4.10. Locator: p.7 - 'UK' forecast table.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,GBP,Currencies,Currencies,Currencies,U,"AB's sterling forecast falls from 1.34 to 1.32 versus the dollar, implying GBP depreciation. Evidence: UK row, FX Rates vs. USD: 2026F 1.34; 2027F 1.32. Locator: p.7 - 'UK' forecast table.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Japan Govt Bonds,Fixed Income - Sovereigns APAC,Fixed Income - Rates & Sovereigns,Fixed Income,N,"AB forecasts Japan 10-year yields unchanged at 2.25% across 2026 and 2027, implying a neutral government-bond view. Evidence: Japan row, 10-Yr. Bond Yield (%): 2026F 2.25; 2027F 2.25. Locator: p.8 - 'Japan' forecast table.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Emerging Markets - Sovereigns,Fixed Income - Sovereigns,Fixed Income - Rates & Sovereigns,Fixed Income,O,"AB forecasts EM ex China/Russia 10-year yields falling from 8.85% to 8.51%, implying a positive EM sovereign-bond view. Evidence: EM ex China/Russia row, 10-Yr. Bond Yield (%): 2026F 8.85; 2027F 8.51. Locator: p.8 - 'Emerging Markets' forecast table.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Asia Fixed Income,Fixed Income - Geo,Fixed Income - General,Fixed Income,O,"AB forecasts Asian 10-year yields edging lower, implying a positive view on Asia fixed income. Evidence: Asia row, 10-Yr. Bond Yield (%): 2026F 5.71; 2027F 5.67. Locator: p.8 - 'Emerging Markets' forecast table.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,LatAm Fixed Income,Fixed Income - Geo,Fixed Income - General,Fixed Income,O,"AB forecasts LatAm 10-year yields declining from 9.90% to 9.76%, implying a positive fixed-income view. Evidence: LATAM row, 10-Yr. Bond Yield (%): 2026F 9.90; 2027F 9.76. Locator: p.8 - 'Emerging Markets' forecast table.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Global Govt Bonds/SSAs,Fixed Income - Sovereigns,Fixed Income - Rates & Sovereigns,Fixed Income,O,"AB forecasts global long rates falling from 4.15% to 4.02%, implying a positive view on global government bonds. Evidence: Global row, Long Rates (%): 2026F 4.15; 2027F 4.02. Locator: p.10 - 'Forecast Table'.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Developed Markets - Sovereigns,Fixed Income - Sovereigns,Fixed Income - Rates & Sovereigns,Fixed Income,O,"AB forecasts industrial-country long rates falling from 3.63% to 3.43%, implying a positive developed-market sovereign view. Evidence: Industrial Countries row, Long Rates (%): 2026F 3.63; 2027F 3.43. Locator: p.10 - 'Forecast Table'.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,US Treasuries,Fixed Income - Sovereigns North America,Fixed Income - Rates & Sovereigns,Fixed Income,N,"AB forecasts US long rates unchanged at 4.00% across 2026 and 2027, implying a neutral Treasury view. Evidence: US row, Long Rates (%): 2026F 4.00; 2027F 4.00. Locator: p.10 - 'Forecast Table'.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Canada Govt Bonds,Fixed Income - Sovereigns North America,Fixed Income - Rates & Sovereigns,Fixed Income,O,"AB forecasts Canadian long rates falling from 3.25% to 3.00%, implying a positive view on Canada government bonds. Evidence: Canada row, Long Rates (%): 2026F 3.25; 2027F 3.00. Locator: p.10 - 'Forecast Table'.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,CAD,Currencies,Currencies,Currencies,U,"AB's USD/CAD forecast rises from 1.40 to 1.42, implying Canadian-dollar depreciation. Evidence: Canada row, FX Rates vs. USD: 2026F 1.40; 2027F 1.42. Locator: p.10 - 'Forecast Table'.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Europe Duration,Fixed Income - Sovereigns Europe,Fixed Income - Rates & Sovereigns,Fixed Income,O,"AB forecasts European long rates falling from 3.37% to 2.90%, implying a positive Europe duration view. Evidence: Europe row, Long Rates (%): 2026F 3.37; 2027F 2.90. Locator: p.10 - 'Forecast Table'.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Australia Govt Bonds,Fixed Income - Sovereigns APAC,Fixed Income - Rates & Sovereigns,Fixed Income,O,"AB forecasts Australian long rates declining from 4.75% to 4.25%, implying a positive view on Australia government bonds. Evidence: Australia row, Long Rates (%): 2026F 4.75; 2027F 4.25. Locator: p.10 - 'Forecast Table'.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,AUD,Currencies,Currencies,Currencies,O,"AB's AUD/USD forecast rises from 0.75 to 0.77, implying Australian-dollar appreciation. Evidence: Australia row, FX Rates vs. USD: 2026F 0.75; 2027F 0.77. Locator: p.10 - 'Forecast Table'.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Asia ex-China Fixed Income,Fixed Income - Geo,Fixed Income - General,Fixed Income,O,"AB forecasts Asia ex Japan and China long rates edging lower, implying a positive Asia ex-China fixed-income view. Evidence: Asia ex Japan & China row, Long Rates (%): 2026F 5.71; 2027F 5.67. Locator: p.10 - 'Forecast Table'.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,India Govt Bonds,Fixed Income - Sovereigns APAC,Fixed Income - Rates & Sovereigns,Fixed Income,O,"AB forecasts Indian long rates falling from 6.90% to 6.70%, implying a positive India government-bond view. Evidence: India row, Long Rates (%): 2026F 6.90; 2027F 6.70. Locator: p.10 - 'Forecast Table'.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,BRL,Currencies,Currencies,Currencies,O,"AB's USD/BRL forecast falls from 5.40 to 5.20, implying Brazilian-real appreciation. Evidence: Brazil row, FX Rates vs. USD: 2026F 5.40; 2027F 5.20. Locator: p.10 - 'Forecast Table'.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,CLP,Currencies,Currencies,Currencies,O,"AB's USD/CLP forecast falls from 900 to 875, implying Chilean-peso appreciation. Evidence: Chile row, FX Rates vs. USD: 2026F 900; 2027F 875. Locator: p.10 - 'Forecast Table'.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Peso,Currencies,Currencies,Currencies,O,"AB's USD/MXN forecast falls from 18.8 to 18.5, implying Mexican-peso appreciation. Evidence: Mexico row, FX Rates vs. USD: 2026F 18.8; 2027F 18.5. Locator: p.10 - 'Forecast Table'.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Polish Bonds,Fixed Income - Sovereigns Europe,Fixed Income - Rates & Sovereigns,Fixed Income,O,"AB forecasts Polish long rates falling from 5.10% to 5.00%, implying a positive view on Polish bonds. Evidence: Poland row, Long Rates (%): 2026F 5.10; 2027F 5.00. Locator: p.10 - 'Forecast Table'.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,South Africa Fixed Income,Fixed Income - Geo,Fixed Income - General,Fixed Income,U,"AB forecasts South African long rates rising from 8.70% to 8.90%, implying a negative view on South Africa fixed income. Evidence: South Africa row, Long Rates (%): 2026F 8.70; 2027F 8.90. Locator: p.10 - 'Forecast Table'.",75,High,none
J.P. Morgan Asset Management,3/26/2026 | 4/30/2026,Global Fixed Income Views 2Q 2026 | Global Asset Allocation Views 2Q 2026,https://am.jpmorgan.com/us/en/asset-management/institutional/insights/portfolio-insights/asset-class-views/fixed-income/ | https://am.jpmorgan.com/gb/en/asset-management/institutional/insights/portfolio-insights/asset-class-views/asset-allocation/c,High Quality Issuers,Fixed Income - Investment Grade,Fixed Income - Credit & Specialty,Fixed Income,O,"J.P. Morgan favors higher-quality credit because spreads remain tight versus history, making improved credit quality the attractive expression. Evidence: The group also saw an opportunity to go up in credit quality at a time when spreads generally remain narrow compared with history, especially across the European banking capital structure.. Locator: p.3 (Global Fixed Income Views 2Q 2026).",90,High,none
J.P. Morgan Asset Management,3/26/2026 | 4/30/2026,Global Fixed Income Views 2Q 2026 | Global Asset Allocation Views 2Q 2026,https://am.jpmorgan.com/us/en/asset-management/institutional/insights/portfolio-insights/asset-class-views/fixed-income/ | https://am.jpmorgan.com/gb/en/asset-management/institutional/insights/portfolio-insights/asset-class-views/asset-allocation/c,Securitized/Structured (ABS/MBS/CDS/Swaps/CLOs),Fixed Income - Specialty,Fixed Income - Credit & Specialty,Fixed Income,O,J.P. Morgan remains positive on securitized credit because structural credit enhancement and resilient U.S. consumers make the sector attractive in stressed markets. Evidence: Securitized credit remains a top focus. The inherent credit enhancement of the securitization structure and the resilience of the U.S. consumer are comforting during times of market stress.. Locator: p.3 (Global Fixed Income Views 2Q 2026).,90,High,none
PIMCO,3/24/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://www.pimco.com/gb/en/insights/layered-uncertainty-conflict-credit-stress-and-ai,Fixed Income - General/Global,Asset Allocation - Broad,Asset Allocation,Fixed Income,O,"PIMCO is constructive on public fixed income because repriced central bank expectations have created opportunities and yields remain attractive with robust liquidity. Evidence: Investment implications grid: Geopolitical shocks box says ""The market’s sharp repricing of central bank policy expectations creates opportunities across bond markets""; Private credit concerns box says ""Look to opportunities in public fixed income, with attractive yields and robust liquidity profiles"". Locator: p.1 — 'Our March 2026 Outlook focuses on three key themes' investment implications grid.",90,High,none
PIMCO,3/24/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://www.pimco.com/gb/en/insights/layered-uncertainty-conflict-credit-stress-and-ai,Inflation-Linked/TIPs,Fixed Income - Sovereigns North America,Fixed Income - Rates & Sovereigns,Fixed Income,O,"PIMCO favors structural TIPS exposure as protection against more frequent energy shocks and related stagflationary risks. Evidence: Geopolitical shocks investment implications box: ""With energy shocks more common in recent years, consider structural allocations to TIPS, commodities, and other real assets"". Locator: p.1 — 'Our March 2026 Outlook focuses on three key themes' investment implications grid.",90,High,none
PIMCO,3/24/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://www.pimco.com/gb/en/insights/layered-uncertainty-conflict-credit-stress-and-ai,Commodities,Alts - Commodities,Commodities,Alternatives,O,"PIMCO favors structural commodity exposure because recurring energy shocks raise stagflationary risks. Evidence: Geopolitical shocks investment implications box: ""With energy shocks more common in recent years, consider structural allocations to TIPS, commodities, and other real assets"". Locator: p.1 — 'Our March 2026 Outlook focuses on three key themes' investment implications grid.",90,High,none
PIMCO,3/24/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://www.pimco.com/gb/en/insights/layered-uncertainty-conflict-credit-stress-and-ai,Real Assets,Asset Allocation - Broad,Alts - Real Assets,Alternatives,O,"PIMCO favors structural real-asset allocations as resilience against more common energy shocks. Evidence: Geopolitical shocks investment implications box: ""With energy shocks more common in recent years, consider structural allocations to TIPS, commodities, and other real assets"". Locator: p.1 — 'Our March 2026 Outlook focuses on three key themes' investment implications grid.",90,High,none
PIMCO,3/24/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://www.pimco.com/gb/en/insights/layered-uncertainty-conflict-credit-stress-and-ai,PD - Direct Lending,Alts - Private Credit,Alts - Private Equity & Credit,Alternatives,U,"PIMCO is cautious on direct lending because prior concerns over rapid growth, illiquidity, and underwriting are materializing, and it directs investors to look beyond direct lending. Evidence: Private credit concerns macro implications box says ""Concerns we have flagged about rapid growth, illiquidity, and lax underwriting are playing out across corporate direct lending""; investment implications box says ""Explore private credit investing beyond direct lending"". Locator: p.1 — 'Our March 2026 Outlook focuses on three key themes' investment implications grid.",75,High,none
PIMCO,3/24/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://www.pimco.com/gb/en/insights/layered-uncertainty-conflict-credit-stress-and-ai,PD - Asset-Based/Asset-Backed,Alts - Private Credit,Alts - Private Equity & Credit,Alternatives,O,"PIMCO favors asset-based finance within private credit as a more resilient area beyond direct lending. Evidence: Private credit concerns investment implications box: ""Explore private credit investing beyond direct lending, including more resilient areas like asset-based finance and real estate debt"". Locator: p.1 — 'Our March 2026 Outlook focuses on three key themes' investment implications grid.",90,High,none
PIMCO,3/24/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://www.pimco.com/gb/en/insights/layered-uncertainty-conflict-credit-stress-and-ai,RE Debt,Alts - Real Estate,Alts - Real Assets,Alternatives,O,"PIMCO favors real estate debt as a more resilient private-credit area outside direct lending. Evidence: Private credit concerns investment implications box: ""Explore private credit investing beyond direct lending, including more resilient areas like asset-based finance and real estate debt"". Locator: p.1 — 'Our March 2026 Outlook focuses on three key themes' investment implications grid.",90,High,none
PIMCO,3/24/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://www.pimco.com/gb/en/insights/layered-uncertainty-conflict-credit-stress-and-ai,High Quality Issuers,Fixed Income - Investment Grade,Fixed Income - Credit & Specialty,Fixed Income,O,"PIMCO favors higher-quality credit exposure because AI disruption will create winners and losers and requires bottom-up issuer selection. Evidence: AI disruption investment implications box: ""Tilt up in quality, using rigorous bottom-up credit selection to identify risks"". Locator: p.1 — 'Our March 2026 Outlook focuses on three key themes' investment implications grid.",90,High,none
PIMCO,3/24/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://www.pimco.com/gb/en/insights/layered-uncertainty-conflict-credit-stress-and-ai,Infra Debt,Alts - Infrastructure,Alts - Real Assets,Alternatives,O,"PIMCO sees selective opportunities in AI infrastructure debt when pricing and lender covenants are favorable. Evidence: AI disruption investment implications box: ""We see sustainable opportunities in AI infrastructure lending when pricing is attractive and lender covenants are strong"". Locator: p.1 — 'Our March 2026 Outlook focuses on three key themes' investment implications grid.",90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,Equities - General,Asset Allocation - Broad,Asset Allocation,Equities,O,"Schroders maintains a positive broad equity view because fundamentals remain supportive despite elevated volatility and near-term geopolitical risks. Evidence: Green Long/positive dot next to 'Equities'; text reads: 'We maintain our positive view on equities, fading near-term geopolitical risks. We recognise that volatility may remain elevated, however fundamentals remain supportive.'. Locator: p.2 — 'Main Asset Classes' view list (Our multi-asset investment views – March 2026).",90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,Fixed Income - General/Global,Asset Allocation - Broad,Asset Allocation,Fixed Income,U,Schroders remains underweight bonds because the level of yields is seen as a valuation risk to equities. Evidence: We have monetised our long commodity hedges but remain underweight bonds as the level of yields poses a valuation risk to equities.. Locator: p.2 (Our multi-asset investment views – March 2026).,90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,Intermediate US Treasuries,Fixed Income - Sovereigns North America,Fixed Income - Rates & Sovereigns,Fixed Income,U,"Schroders expects the US 10-year yield to rise, which is an implied negative price view on intermediate US Treasuries. Evidence: Nevertheless, we think there is further upside in bond yields and would expect the US 10 year to rise to 4.5%.. Locator: p.2 (Our multi-asset investment views – March 2026).",75,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,USD,Currencies,Currencies,Currencies,O,"Schroders upgrades the dollar to positive, citing Middle East uncertainty, US net oil-exporter status, and near-term cyclical support. Evidence: Green circle with up arrow next to 'US $'; text says Schroders upgraded its view on the dollar and that cyclical dynamics could be a near-term tailwind.. Locator: p.6 — 'Currencies' view list (Our multi-asset investment views – March 2026).",90,High,none
