Firm,Date,Source,URL,Sub-Asset Class,Asset Class Category,Canva Groupings,Asset Class,View,Full Commentary,confidence,band,review_flag
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,US IG Credit,Fixed Income - Investment Grade,Fixed Income - Credit & Specialty,Fixed Income,U,Schroders turns negative on US investment grade credit because tight spreads offer little protection against stagflationary risks and rising issuance. Evidence: We also turn negative on US investment grade credit as current spreads offer little protection against the potential for stagflationary risks and increasing issuance (consistent with late cycle dynamics).. Locator: p.2 (Our multi-asset investment views – March 2026).,90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,Global ex-US Value,Equities - Factor,"Equities - Sectors, Factors, Thematics",Equities,U,Schroders closes its overweight to international value stocks because financials remain vulnerable to rate concerns and the US is expected to be more resilient. Evidence: We maintain our overweight position in equities but have decided to close the overweight to international value stocks as financials remain vulnerable to rate concerns and the US is likely to be more resilient to any protracted oil price spike.. Locator: p.2 (Our multi-asset investment views – March 2026).,75,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,Gold/Precious,Alts - Commodities,Commodities,Alternatives,O,"Schroders remains long gold on structural emerging-market central-bank demand and diversification against fiscal and geopolitical risks. Evidence: We remain long gold despite recent volatility, as we expect continued structural demand from emerging market central banks and see it as an important diversifier against fiscal and geopolitical risks.. Locator: p.2 (Our multi-asset investment views – March 2026).",90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,EM Debt - Local Currency,Fixed Income - Sovereigns,Fixed Income - Rates & Sovereigns,Fixed Income,O,Schroders maintains a long position in local EMD because real yields are attractive and debt dynamics are improving. Evidence: We also maintain our long position in local EMD given attractive real yields and better debt dynamics.. Locator: p.2 (Our multi-asset investment views – March 2026).,90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,Global Govt Bonds/SSAs,Fixed Income - Sovereigns,Fixed Income - Rates & Sovereigns,Fixed Income,U,"Schroders is negative on government bonds because markets are viewed as too complacent about inflation risks from an extended Middle East conflict. Evidence: Red Short/negative dot next to 'Government bonds'; text reads: 'We remain negative on government bonds, reflecting the view that markets remain too complacent about the inflation risks of an extended conflict in the Middle East.'. Locator: p.2-p.3 — 'Main Asset Classes' view list (Our multi-asset investment views – March 2026).",90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,Commodities,Alts - Commodities,Commodities,Alternatives,N,Schroders downgraded broad commodities to neutral after taking profits following the oil-price spike. Evidence: Yellow Neutral dot and Down from last month arrow next to 'Commodities'; text reads: 'We took profits on our broad commodities position and have downgraded our view to neutral.'. Locator: p.3 — 'Main Asset Classes' view list (Our multi-asset investment views – March 2026).,100,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,Credit - General / Multi-Sector / Broad,Fixed Income - Investment Grade,Fixed Income - Credit & Specialty,Fixed Income,U,Schroders downgraded broad credit to negative because tight spreads no longer reflect prevailing market risks. Evidence: Red Short/negative dot and Down from last month arrow next to 'Corporate bonds (credit)'; text reads: 'We have downgraded our score for credit to negative.'. Locator: p.3 — 'Main Asset Classes' view list (Our multi-asset investment views – March 2026).,90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,US Equities,Equities - DMs,Equities - Geography,Equities,O,"Schroders maintains a positive view on US equities, supported by earnings growth and a healthy consumer. Evidence: Green Long/positive dot next to 'US'; text reads: 'We maintain a positive view on US equities despite recent underperformance, with earnings growth and a healthy consumer underpinning growth.'. Locator: p.3 — 'Equities' view list (Our multi-asset investment views – March 2026).",90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,UK Equities,Equities - DMs,Equities - Geography,Equities,N,Schroders is neutral on UK equities because few clear growth catalysts and political uncertainty offset potential AI-disruption resilience. Evidence: Yellow Neutral dot next to 'UK'; text reads: 'We maintain a neutral stance on UK equities.'. Locator: p.3 — 'Equities' view list (Our multi-asset investment views – March 2026).,90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,Europe Equities,Equities - DMs,Equities - Geography,Equities,N,Schroders remains neutral on European equities as supportive fiscal backdrop is balanced by energy-price sensitivity and banking exposure. Evidence: Yellow Neutral dot next to 'Europe ex UK'; text reads: 'We remain neutral on European equities.'. Locator: p.3 — 'Equities' view list (Our multi-asset investment views – March 2026).,90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,Japan Equities,Equities - DMs,Equities - Geography,Equities,N,"Schroders is neutral on Japan equities, with possible fiscal support balanced against no stronger positive stance. Evidence: Yellow Neutral dot next to 'Japan'; text reads: 'We maintain a neutral view, although expectations of additional fiscal support following the recent election may help underpin domestic activity.'. Locator: p.3 — 'Equities' view list (Our multi-asset investment views – March 2026).",90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,Emerging Markets Equities,Equities - EMs,Equities - Geography,Equities,O,"Schroders upgrades EM equities to positive, especially Asia markets with technology exposure benefiting from AI tailwinds. Evidence: Green Long/positive dot and Up from last month arrow next to 'Global Emerging Markets (EM)'; text reads: 'We have upgraded our view on EM equities to positive, with a particular focus on Asia, where countries with greater exposure to the technology sector stand to benefit from tailwinds around the AI theme.'. Locator: p.3 — 'Equities' view list (Our multi-asset investment views – March 2026).",90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,China Equities,Equities - EMs,Equities - Geography,Equities,N,"Schroders remains neutral on China equities because near-term growth catalysts are limited despite strong exports. Evidence: Yellow Neutral dot next to 'Asia ex-Japan: China'; text reads: 'We remain neutral, with few catalysts for growth in the near-term.'. Locator: p.3-p.4 — 'Equities' view list (Our multi-asset investment views – March 2026).",90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,Asia ex-China Equities,Equities - Geo,Equities - Geography,Equities,O,"Schroders is positive on EM Asia ex China because export-oriented markets benefit from US strength and industrial resilience with fewer geopolitical worries than China. Evidence: Green Long/positive dot and Up from last month arrow next to 'EM Asia ex China'; text reads: 'Export-oriented Asian markets benefit from US strength and industrial resilience, with relatively fewer geopolitical worries than China.'. Locator: p.4 — 'Equities' view list (Our multi-asset investment views – March 2026).",90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,US Treasuries,Fixed Income - Sovereigns North America,Fixed Income - Rates & Sovereigns,Fixed Income,U,Schroders is negative on US Treasuries because high energy prices and solid growth create upside risk for yields. Evidence: Red Short/negative dot next to 'US'; text reads: 'We remain negative on US Treasuries.'. Locator: p.4 — 'Government bonds' view list (Our multi-asset investment views – March 2026).,100,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,UK Gilts,Fixed Income - Sovereigns Europe,Fixed Income - Rates & Sovereigns,Fixed Income,N,Schroders is neutral on gilts as the oil-price rise has reduced the likelihood of previously expected Bank of England rate cuts. Evidence: Yellow Neutral dot next to 'UK'; text reads: 'We remain neutral on gilts.'. Locator: p.4 — 'Government bonds' view list (Our multi-asset investment views – March 2026).,90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,Euro Govt Bonds,Fixed Income - Sovereigns Europe,Fixed Income - Rates & Sovereigns,Fixed Income,N,Schroders is neutral on European government bonds because vulnerability to Gulf oil price rises offsets any stronger positive case. Evidence: Yellow Neutral dot next to 'Europe'; text reads: 'We retain a neutral stance on European government bonds.'. Locator: p.4 — 'Government bonds' view list (Our multi-asset investment views – March 2026).,90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,Japan Govt Bonds,Fixed Income - Sovereigns APAC,Fixed Income - Rates & Sovereigns,Fixed Income,N,Schroders is neutral on JGBs as fiscal expansion support is tempered by policy normalisation and global reflation risks. Evidence: Yellow Neutral dot next to 'Japan'; text reads: 'We remain neutral on JGBs.'. Locator: p.4 — 'Government bonds' view list (Our multi-asset investment views – March 2026).,90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,Inflation-Linked/TIPs,Fixed Income - Sovereigns North America,Fixed Income - Rates & Sovereigns,Fixed Income,N,"Schroders is neutral on US inflation-linked bonds while acknowledging renewed inflation risks from Middle East energy-price pressure. Evidence: Yellow Neutral dot next to 'US inflation-linked bonds'; text reads: 'While inflation has moderated, risks are skewed to a second wave particularly as the impacts of the Middle East war push energy prices higher.'. Locator: p.4 — 'Government bonds' view list (Our multi-asset investment views – March 2026).",90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,Europe IG Credit,Fixed Income - Investment Grade,Fixed Income - Credit & Specialty,Fixed Income,N,"Schroders is neutral overall on Europe IG credit, with less stretched valuations offset by greater sensitivity to energy price rises. Evidence: Yellow Neutral dot next to 'Europe' under 'Investment grade credit'; text reads: 'We prefer Europe over the US but remain neutral overall.'. Locator: p.5 — 'Investment grade credit' view list (Our multi-asset investment views – March 2026).",90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,EM IG Credit,Fixed Income - Investment Grade,Fixed Income - Credit & Specialty,Fixed Income,U,"Schroders downgraded EM USD investment grade credit because regional exposure to the Middle East and Asia raises spread-widening risk. Evidence: Red Short/negative dot and Down from last month arrow next to 'Emerging markets USD' under 'Investment grade credit'; text reads: 'We have downgraded our view, as regional exposure to the Middle East and Asia means the risk of spreads widening is greater than current levels currently reflect.'. Locator: p.5 — 'Investment grade credit' view list (Our multi-asset investment views – March 2026).",90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,US HY,Fixed Income - High Yield,Fixed Income - Credit & Specialty,Fixed Income,U,"Schroders downgraded US high yield to negative due to AI-related company exposure and vulnerability to changing technicals. Evidence: Red Short/negative dot and Down from last month arrow next to 'US' under 'High yield bonds (non-investment grade)'; text reads: 'We have downgraded the sector to negative, owing to exposure to AI related companies and susceptibility to a change in technicals.'. Locator: p.5 — 'High yield bonds (non-investment grade)' view list (Our multi-asset investment views – March 2026).",90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,Europe HY,Fixed Income - High Yield,Fixed Income - Credit & Specialty,Fixed Income,U,"Schroders downgraded Europe high yield to negative because valuations are expensive and the Iran conflict raises energy-price sensitivity risk. Evidence: Red Short/negative dot and Down from last month arrow next to 'Europe' under 'High yield bonds (non-investment grade)'; text reads: 'We have downgraded to negative, with valuations expensive and the conflict in Iran posing a risk due to sensitivity to energy prices.'. Locator: p.5 — 'High yield bonds (non-investment grade)' view list (Our multi-asset investment views – March 2026).",90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,Energy,Alts - Commodities,Commodities,Alternatives,N,"Schroders switches energy to neutral after taking profits, judging current price levels unsustainable while awaiting war-duration clarity. Evidence: Yellow Neutral dot and Down from last month arrow next to 'Energy'; text reads: 'We have taken profits on our energy position as oil prices have moved significantly higher since the start of the month.'. Locator: p.5 — 'Commodities' view list (Our multi-asset investment views – March 2026).",100,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,Copper/Industrial,Alts - Commodities,Commodities,Alternatives,N,"Schroders marks industrial metals neutral in the commodities view list, while noting potential aluminium supply disruption from the Middle East. Evidence: Yellow Neutral dot next to 'Industrial metals'; text begins: 'There is potential for supply side disruption to aluminium due to the Middle-East'. Locator: p.5 — 'Commodities' view list (Our multi-asset investment views – March 2026).",90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,Agriculture/Farmland,Alts - Commodities,Commodities,Alternatives,N,"Schroders marks Agriculture neutral despite expecting it to lag on high grain supply, with fertiliser supply sensitivity as an offset. Evidence: Yellow circle next to 'Agriculture'; text says agriculture is likely to be a laggard among commodities but has some sensitivity to any Strait of Hormuz closure through fertiliser supply.. Locator: p.6 — 'Commodities' view list (Our multi-asset investment views – March 2026).",90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,GBP,Currencies,Currencies,Currencies,N,"Schroders remains neutral on sterling, balancing a weak macro backdrop against reduced Bank of England rate-cut expectations after inflation pressure. Evidence: Yellow circle next to 'UK £'; text says 'We remain neutral on sterling.'. Locator: p.6 — 'Currencies' view list (Our multi-asset investment views – March 2026).",90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,EUR,Currencies,Currencies,Currencies,U,Schroders downgrades the euro to negative because it expects selling as investors increase dollar exposure and Europe is more sensitive to the energy shock. Evidence: Red circle with down arrow next to 'EU €'; text says Schroders downgraded the euro to negative.. Locator: p.6 — 'Currencies' view list (Our multi-asset investment views – March 2026).,90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,CNY,Currencies,Currencies,Currencies,N,"Schroders remains neutral on CNH, noting moderated inflation and relative insulation from the energy price shock. Evidence: Yellow circle next to 'CNH ¥'; text says 'We remain neutral.'. Locator: p.6 — 'Currencies' view list (Our multi-asset investment views – March 2026).",90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,JPY,Currencies,Currencies,Currencies,N,Schroders maintains a neutral yen view because policy normalisation is gradual and near-term currency dynamics are broadly balanced. Evidence: Yellow circle next to 'JPY ¥'; text says Schroders maintains a neutral view on the yen.. Locator: p.6 — 'Currencies' view list (Our multi-asset investment views – March 2026).,90,High,none
Schroders,4/7/2026 | 3/20/2026,Quarterly markets review - Q1 2026 | Our multi-asset investment views – March 2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/ | https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/,CHF,Currencies,Currencies,Currencies,N,Schroders stays neutral on the Swiss franc because safe-haven support is offset by intervention risk and less attractive entry levels. Evidence: Yellow circle next to 'Swiss franc ₣'; text says Schroders stays neutral on the Swiss franc.. Locator: p.6 — 'Currencies' view list (Our multi-asset investment views – March 2026).,90,High,none
J.P. Morgan Asset Management,3/26/2026 | 4/30/2026,Global Fixed Income Views 2Q 2026 | Global Asset Allocation Views 2Q 2026,https://am.jpmorgan.com/us/en/asset-management/institutional/insights/portfolio-insights/asset-class-views/fixed-income/ | https://am.jpmorgan.com/gb/en/asset-management/institutional/insights/portfolio-insights/asset-class-views/asset-allocation/c,Oil,Alts - Commodities,Commodities,Alternatives,N,"J.P. Morgan sees the oil shock as temporary, with Brent elevated in Q2 but normalizing over Q3-Q4, so the two-sided path nets to neutral for oil. Evidence: In our own base case scenario, in which Brent crude averages around $100 in Q2 before retreating to more normal levels over the course of Q3 and Q4, the global economy would likely be able to move past the energy shock and deliver solid growth.. Locator: p.1 (Global Asset Allocation Views 2Q 2026). Checker: unconfirmed (Quote is a macro base-case oil price path (elevated then retreating); the net direction reads as mildly downward as much as neutral, so N is plausible but not decisive.).",74,Medium,review
J.P. Morgan Asset Management,3/26/2026 | 4/30/2026,Global Fixed Income Views 2Q 2026 | Global Asset Allocation Views 2Q 2026,https://am.jpmorgan.com/us/en/asset-management/institutional/insights/portfolio-insights/asset-class-views/fixed-income/ | https://am.jpmorgan.com/gb/en/asset-management/institutional/insights/portfolio-insights/asset-class-views/asset-allocation/c,Equities - General,Asset Allocation - Broad,Asset Allocation,Equities,O,"J.P. Morgan maintains a risk-on allocation stance and explicitly includes an equity overweight over the 12-18 month horizon. Evidence: This view sets the foundation for our continued risk-on stance, including an equity overweight, over a 12-18 month investment horizon.. Locator: p.1 (Global Asset Allocation Views 2Q 2026).",90,High,none
J.P. Morgan Asset Management,3/26/2026 | 4/30/2026,Global Fixed Income Views 2Q 2026 | Global Asset Allocation Views 2Q 2026,https://am.jpmorgan.com/us/en/asset-management/institutional/insights/portfolio-insights/asset-class-views/fixed-income/ | https://am.jpmorgan.com/gb/en/asset-management/institutional/insights/portfolio-insights/asset-class-views/asset-allocation/c,Duration - Short,Fixed Income - Duration,Fixed Income - General,Fixed Income,O,"J.P. Morgan favors shorter duration in fixed income as it expects yield curves to steepen. Evidence: Our equity outlook remains moderately pro-risk, reflecting our base case of solid economic growth and structural tailwinds from global fiscal stimulus and AI adoption. In fixed income, we are leaning into shorter duration as yield curves steepen. Credit positioning is neutral, reflecting the asymmetric distribution of returns in the current environment (Exhibit 2).. Locator: p.3 (Global Asset Allocation Views 2Q 2026).",90,High,none
J.P. Morgan Asset Management,3/26/2026 | 4/30/2026,Global Fixed Income Views 2Q 2026 | Global Asset Allocation Views 2Q 2026,https://am.jpmorgan.com/us/en/asset-management/institutional/insights/portfolio-insights/asset-class-views/fixed-income/ | https://am.jpmorgan.com/gb/en/asset-management/institutional/insights/portfolio-insights/asset-class-views/asset-allocation/c,Credit - General / Multi-Sector / Broad,Fixed Income - Investment Grade,Fixed Income - Credit & Specialty,Fixed Income,N,"J.P. Morgan explicitly keeps broad credit positioning neutral because return risks are asymmetric. Evidence: Our equity outlook remains moderately pro-risk, reflecting our base case of solid economic growth and structural tailwinds from global fiscal stimulus and AI adoption. In fixed income, we are leaning into shorter duration as yield curves steepen. Credit positioning is neutral, reflecting the asymmetric distribution of returns in the current environment (Exhibit 2).. Locator: p.3 (Global Asset Allocation Views 2Q 2026).",90,High,none
J.P. Morgan Asset Management,3/26/2026 | 4/30/2026,Global Fixed Income Views 2Q 2026 | Global Asset Allocation Views 2Q 2026,https://am.jpmorgan.com/us/en/asset-management/institutional/insights/portfolio-insights/asset-class-views/fixed-income/ | https://am.jpmorgan.com/gb/en/asset-management/institutional/insights/portfolio-insights/asset-class-views/asset-allocation/c,Global HY,Fixed Income - High Yield,Fixed Income - Credit & Specialty,Fixed Income,N,"J.P. Morgan maintains a neutral high yield stance because downside return asymmetry offsets attractive carry. Evidence: With asymmetric returns to the downside, we maintain a neutral stance on high yield and emerging market debt (Exhibit 3).. Locator: p.3 (Global Asset Allocation Views 2Q 2026).",90,High,none
